Epoch ,TrainLoss   ,ValidationLoss ,TrainAccuracy ,ValidationAccuracy
    1 ,2.42828846  ,   2.811273575 ,  0.018327252 ,       0.020290301
    2 ,3.743066788 ,   1.409891367 ,  0.020068962 ,       0.021621495
    3 ,1.189664125 ,   2.917611122 ,  0.020510864 ,       0.019755287
    4 ,2.333052158 ,   2.388092518 ,  0.019457712 ,       0.020535922
    5 ,2.139790058 ,   3.696121693 ,  0.018111565 ,       0.020389301
    6 ,0.807659805 ,   0.754039705 ,  0.016623831 ,       0.015402251
    7 ,0.684154987 ,   0.735689998 ,  0.018314523 ,       0.018322708
    8 ,0.605461001 ,   3.363990545 ,  0.016946813 ,       0.018672095
    9 ,1.656350255 ,   1.235343456 ,  0.019313596 ,       0.020003951
   10 ,1.784684539 ,   3.708560467 ,  0.018788989 ,       0.021286256
   11 ,2.049386978 ,   0.530145288 ,  0.019987428 ,       0.020012142
   12 ,3.517039776 ,   0.497839063 ,  0.020674075 ,       0.021634709
   13 ,0.478014141 ,   4.567315578 ,  0.0205399   ,       0.022239881
   14 ,1.288622022 ,   1.293189168 ,  0.020550748 ,       0.019472837
   15 ,0.42321226  ,   5.290517807 ,  0.017215454 ,       0.021580206
   16 ,0.404806614 ,   4.557220459 ,  0.01995767  ,       0.016742807
   17 ,3.807056904 ,   3.703969955 ,  0.017884546 ,       0.018917398
   18 ,0.41211164  ,   2.684200764 ,  0.019238134 ,       0.019339208
   19 ,1.350408792 ,   0.335936338 ,  0.022466075 ,       0.023439953
   20 ,0.384587675 ,   2.856006622 ,  0.021759962 ,       0.019134766
   21 ,0.323881984 ,   4.424963951 ,  0.019122821 ,       0.020883313
   22 ,0.323210061 ,   3.204041481 ,  0.021887071 ,       0.022013249
   23 ,2.241193533 ,   2.354401588 ,  0.02106152  ,       0.020564013
   24 ,0.561049998 ,   0.314869225 ,  0.023560393 ,       0.021978564
   25 ,3.170467615 ,   3.474287987 ,  0.021368852 ,       0.023943361
   26 ,1.01822114  ,   0.296834379 ,  0.023991805 ,       0.023399805
   27 ,1.234555244 ,   3.874259949 ,  0.018127918 ,       0.020065507
   28 ,0.291865289 ,   0.270054579 ,  0.023094622 ,       0.02398656
   29 ,2.327621222 ,   1.127735615 ,  0.017999918 ,       0.021764367
   30 ,4.555701256 ,   2.323873997 ,  0.022488269 ,       0.020667196
   31 ,0.821222425 ,   4.214920044 ,  0.022254978 ,       0.024832927
   32 ,3.539489269 ,   2.23520565  ,  0.025187155 ,       0.022631643
   33 ,0.717990875 ,   0.715691328 ,  0.021804759 ,       0.02230179
   34 ,0.75072825  ,   0.246564955 ,  0.021115357 ,       0.023140194
   35 ,2.408750057 ,   0.230340868 ,  0.018539762 ,       0.021306419
   36 ,0.233615369 ,   3.264167309 ,  0.024378798 ,       0.024181979
   37 ,1.660724282 ,   0.204283059 ,  0.021100834 ,       0.018912713
   38 ,0.426262558 ,   0.640438914 ,  0.022451902 ,       0.022328055
   39 ,1.231587648 ,   3.161418438 ,  0.025327241 ,       0.026424494
   40 ,0.626984596 ,   1.833165407 ,  0.021290067 ,       0.021576833
   41 ,3.8684268   ,   0.205568731 ,  0.023881592 ,       0.023689028
   42 ,0.211372465 ,   2.947644234 ,  0.025237189 ,       0.024153757
   43 ,0.223956734 ,   0.19460091  ,  0.020702369 ,       0.020251215
   44 ,0.52743721  ,   0.377641559 ,  0.026438646 ,       0.023732074
   45 ,0.188768104 ,   2.130847692 ,  0.026524321 ,       0.022803815
   46 ,2.803598404 ,   3.213200092 ,  0.020928419 ,       0.022455349
   47 ,2.09169507  ,   0.477772057 ,  0.017042284 ,       0.018327577
   48 ,1.772271156 ,   2.58957243  ,  0.02052605  ,       0.024002977
